City,Business_Unit,Latitude,Longitude,Type
Berlin,Logistics,52.52,13.405,Office
Hamburg,IT,53.5511,9.9937,Office
Muenchen,Finance,48.1351,11.582,Office
Koeln,Operations,50.9375,6.9603,Office
Frankfurt,Finance,50.1109,8.6821,Office
Stuttgart,Logistics,48.7758,9.1829,Office
Duesseldorf,HR,51.2277,6.7735,Office
Dortmund,Finance,51.5136,7.4653,Office
Essen,Support,51.4556,7.0116,Office
Leipzig,HR,51.3397,12.3731,Office
Bremen,Marketing,53.0793,8.8017,Office
Dresden,Support,51.0504,13.7373,Office
Hannover,HR,52.3745,9.7386,Office
Nuremberg,Sales,49.4521,11.0767,Office
Duisburg,Marketing,51.4344,6.7623,Office
Bochum,Marketing,51.4818,7.2197,Office
Wuppertal,Operations,51.2562,7.1508,Office
Bielefeld,Operations,52.0216,8.531,Office
Bonn,Support,50.7374,7.0982,Office
Muenster,HR,51.9607,7.6261,Office
Karlsruhe,Logistics,49.0069,8.4037,Office
Mannheim,Operations,49.4875,8.466,Office
Augsburg,Logistics,48.3705,10.8978,Office
Wiesbaden,Marketing,50.0826,8.2493,Office
Gelsenkirchen,Logistics,51.5177,7.0857,Office
Moenchengladbach,Marketing,51.1805,6.4428,Office
Braunschweig,Finance,52.2689,10.5268,Office
Kiel,IT,54.3233,10.1228,Office
Aachen,Finance,50.7753,6.0839,Office
Chemnitz,Finance,50.8278,12.9214,Office
Halle,Logistics,51.4961,11.9688,Office
Magdeburg,Sales,52.1205,11.6276,Office
Freiburg,Marketing,47.999,7.8421,Office
Krefeld,Logistics,51.3388,6.5853,Office
Luebeck,Sales,53.8655,10.6866,Office
Oberhausen,Marketing,51.4963,6.8638,Office
Erfurt,Operations,50.9848,11.0299,Office
Mainz,Logistics,49.9929,8.2473,Office
Rostock,Logistics,54.0924,12.1216,Office
Kassel,Finance,51.3127,9.4797,Office
Hagen,Sales,51.36,7.4717,Office
Hamm,Support,51.6739,7.8159,Office
Saarbruecken,HR,49.2402,6.9969,Office
Potsdam,Finance,52.3906,13.0645,Office
Ludwigshafen,Logistics,49.4774,8.4452,Office
Oldenburg,Finance,53.1435,8.2146,Office
Leverkusen,Support,51.0459,7.0192,Office
Osnabrueck,HR,52.2799,8.0472,Office
Solingen,Logistics,51.1652,7.0671,Office
Heidelberg,Operations,49.3988,8.6724,Office
